can-cc9675,CC1_ID_NEUROBION,can-8519ea2a8486eed1e0f5622ea509d5763bcf1d409fbabfbaa1d21746792957d4,can-cc9675,,,,,,,,,,['ID'],ID,ACTIVE,ACTIVE,total,E,N,2,BOTH,2,PLUS,2019-04-11,2019-07-10,can-cc9675,2025-06-04,EST
can-cc5364,CC1_MX_P&G_GILLETTE_PRESTOBARBA,can-c303f91004d9f504afaed78f474b5a87c04550d6799f9d72aa73c5e32d08ea47,can-cc5364,,,,,,,,,,['MX'],MX,ACTIVE,ACTIVE,total,E,N,2,BOTH,2,PLUS,2019-04-10,2019-07-10,can-cc5364,2025-06-04,EST
can-nlsn160464,ID_PG_M_Medicine_Neurobion_SahabatPahlawanKeluarga_OLVSkip_2019-04_MF25+_iVideoApr19_1781272468,can-6bf8598693ef2cf4c7237697133c7b5c5c3d9207c9eaa06ce054a2dd05bfe49b,can-nlsn160464,,bnd119592000,PROCTER & GAMBLE,15070,PROCTER & GAMBLE CO,,,,,['ID'],ID,ACTIVE,ACTIVE,total,E,N,1,BOTH,25,PLUS,2022-01-01,,can-nlsn160464,2025-06-04,EST
can-nlsn145069,VEVO_Internal_28648_Pizza Hut 2018-19 Upfront_ROS Q1,can-7ddc159433aab374d8999b8896a518cb4bc5059d0ffff98c0b03eeae1b0733ce,can-nlsn145069,,,,,,,,,,['US'],US,ACTIVE,ACTIVE,total,E,N,2,BOTH,18,49,2022-01-01,,can-nlsn145069,2025-06-04,EST
can-nlsn160685,MX_P&G_STARCOM_CN~PRESTOBARBADIESEL_MK~MX_YM~19M04_MB~GILLETTE MEGABRAND_OB~AWA_PK~CPV_CP~8001324956,can-8047f31b5d432f14c64fae518e4e4a990f1f5bdc0857526b805e7dd1cbb121db,can-nlsn160685,,bnd822034368000,GILLETTE,15070,PROCTER & GAMBLE CO,,,,,['MX'],MX,ACTIVE,ACTIVE,total,E,N,1,MALE,18,44,2022-01-01,,can-nlsn160685,2025-06-04,EST
can-nlsn158968,CN~PB3_MK~MX_YM~18M1M12_MB~PRESTOBARBA/BLUE_OB~AWA_PK~HUMAN VCPM_CP~_FF~MOAT - MRC Definition - 70%,can-4c5adbd120a3852b94fe3718d33fc657c176f3273d30ed7ca966f1afd98a425d,can-nlsn158968,,bnd822034368000,GILLETTE,15070,PROCTER & GAMBLE CO,,,,,['MX'],MX,ACTIVE,ACTIVE,total,E,N,1,FEMALE,18,34,2022-01-01,,can-nlsn158968,2025-06-04,EST
can-scm355176,FWC_20844794 (2018/09/30),can-2b0d674458c18e42ff9ddd32a2012b7637c068984ca450113ec87794d1891f88,can-scm355176,,bnd110016000,FREEWHEEL MEDIA,2070912,FREEWHEEL MEDIA INC,,,,,['US'],US,ACTIVE,ACTIVE,total,E,N,2,BOTH,2,PLUS,2022-01-01,,can-scm355176,2025-06-04,EST
can-nlsn159583,ID_PG_M_Health_Neurobion_Total_SOC_2019-04_MF30-50_23843272609180569/23843272630560569,can-c9c04402d182a3026c9b5c2b1a3ddc68ab1bbc73189c93f69c50c778c32327f6,can-nlsn159583,,bnd822366348000,PROCTER & GAMBLE,15070,PROCTER & GAMBLE CO,,,,,['ID'],ID,ACTIVE,ACTIVE,total,E,N,1,BOTH,30,49,2022-01-01,,can-nlsn159583,2025-06-04,EST
can-cmp1633021,ios api_18-24_vs_25-34_model_18-24_0.4_percent_null_1547097222,can-0c686734c0dddddfad6680e74e347b46ff47180faa0bdf3a45b3d6afc99ff7b8,can-cmp1633021,,bnd822276804000,PUSHSPRING,2800455,PUSHSPRING INC,,,,,['US'],US,ACTIVE,ACTIVE,total,E,N,2,BOTH,18,24,2022-01-01,,can-cmp1633021,2025-06-04,EST
can-cc9675,CC1_ID_NEUROBION,can-8519ea2a8486eed1e0f5622ea509d5763bcf1d409fbabfbaa1d21746792957d4,can-cc9675,,,,,,,,,,['ID'],ID,ACTIVE,ACTIVE,total,E,N,2,BOTH,2,PLUS,2019-04-11,2019-07-10,can-cc9675,2025-06-12,EST
